Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","174.809265136719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","85.6589279174805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M033285","61.7017288208008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","66","GC07M140783","59.6479225158691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"EGFR-AS1","EGFR Antisense RNA 1","RNA Gene","","24","GC07M055179","58.4414367675781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR-AS1"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","64","GC02M029190","51.7765769958496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","50.3421440124512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","65","GC03P179148","50.174201965332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","47.9047203063965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"LUCAT1","Lung Cancer Associated Transcript 1","RNA Gene","","24","GC05M091054","47.1795539855957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUCAT1"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","45.1019439697266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","44.7613105773926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P116113","43.3616371154785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","43.3078155517578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"LCAL1","Lung Cancer Associated LncRNA 1","RNA Gene","","18","GC06M079274","41.613151550293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAL1"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","63","GC19P001177","41.4078407287598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","61","GC13P048303","41.3288497924805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","40.5482864379883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"ERCC6","ERCC Excision Repair 6, Chromatin Remodeling Factor","Protein Coding","Q03468","59","GC10M049454","40.4613380432129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC6"
